Flat,Opening,Closing,Delta,Total kL,Est Cost
A001,44560,51040,6480,6.48,
A002,34270,45730,11460,11.46,
A003,126380,142860,16480,16.48,
A004,77480,89330,11850,11.85,
A005,27800,33680,5880,5.88,
A101,58320,68230,9910,9.91,
A102,65680,74670,8990,8.99,
A103,73720,82470,8750,8.75,
A104,78320,94040,15720,15.72,
A105,49450,50050,600,0.60,
A201,72880,79350,6470,6.47,
A202,51280,63060,11780,11.78,
A203,113820,124080,10260,10.26,
A204,100450,110950,10500,10.50,
A205,41120,44760,3640,3.64,
A301,95100,107260,12160,12.16,
A302,66110,75240,9130,9.13,
A303,233260,262130,28870,28.87,
A304,109370,128420,19050,19.05,
A305,0,0,0,0.00,
A401,110380,125690,15310,15.31,
A402,86540,95190,8650,8.65,
A403,95660,105450,9790,9.79,
A404,79770,90650,10880,10.88,
A405,80560,91760,11200,11.20,
B001,168050,189230,21180,21.18,
B002,92080,107030,14950,14.95,
B003,16110,17970,1860,1.86,
B004,36420,44690,8270,8.27,
B101,101100,120340,19240,19.24,
B102,92420,109550,17130,17.13,
B103,49950,57000,7050,7.05,
B104,88410,102060,13650,13.65,
B201,78830,84480,5650,5.65,
B202,62830,68390,5560,5.56,
B203,46760,54240,7480,7.48,
B204,53410,59690,6280,6.28,
B301,136600,162820,26220,26.22,
B302,52440,61120,8680,8.68,
B303,50110,59910,9800,9.80,
B304,37470,39810,2340,2.34,
B401,59610,68420,8810,8.81,
B402,159740,182120,22380,22.38,
B403,123770,142170,18400,18.40,
B404,34270,38330,4060,4.06,
C001,81270,93030,11760,11.76,
C002,90960,103230,12270,12.27,
C003,132880,139360,6480,6.48,
C004,50420,60620,10200,10.20,
C101,96370,113340,16970,16.97,
C102,61870,71430,9560,9.56,
C103,81850,99610,17760,17.76,
C104,70030,81270,11240,11.24,
C201,77020,94020,17000,17.00,
C202,48390,60330,11940,11.94,
C203,70820,80510,9690,9.69,
C204,153710,172730,19020,19.02,
C301,35090,38390,3300,3.30,
C302,83380,98680,15300,15.30,
C303,53300,60570,7270,7.27,
C304,49140,57720,8580,8.58,
C401,104690,123350,18660,18.66,
C402,104250,128040,23790,23.79,
C403,77560,92000,14440,14.44,
C404,62610,71040,8430,8.43,
Common,96570,110300,13730,13.73,
Pool,43360,45640,2280,2.28,
